Topic,Description,URL
Awesome Lists,An awesome list is a list of awesome things curated by the community.,https://github.com/topics/awesome
Chrome,Chrome is a web browser from the tech company Google.,https://github.com/topics/chrome
Code quality,"Automate your code review with style, quality, security, and test‑coverage checks when you need them.",https://github.com/topics/code-quality
Compiler,Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).,https://github.com/topics/compiler
CSS,Cascading Style Sheets (CSS) is a language used most often to style and improve upon the appearance of views.,https://github.com/topics/css
Database,"A database is a structured set of data held in a computer, usually a server.",https://github.com/topics/database
Front end,Front end is the programming and layout that people see and interact with.,https://github.com/topics/frontend
JavaScript,JavaScript (JS) is a lightweight interpreted programming language with first-class functions.,https://github.com/topics/javascript
Node.js,Node.js is a tool for executing JavaScript in a variety of environments.,https://github.com/topics/nodejs
npm,npm is a package manager for JavaScript included with Node.js.,https://github.com/topics/npm
Project management,Project management is about building scope and executing on the project's goals.,https://github.com/topics/project-management
Python,Python is a dynamically typed programming language.,https://github.com/topics/python
React,React is an open source JavaScript library used for designing user interfaces.,https://github.com/topics/react
React Native,React Native is a JavaScript mobile framework developed by Facebook.,https://github.com/topics/react-native
Scala,Scala is an object-oriented programming language.,https://github.com/topics/scala
TypeScript,TypeScript is a typed superset of JavaScript that compiles to plain JavaScript.,https://github.com/topics/typescript
